Make,Variant,Length,Geo,Origin,Price,Year
Nautitech,40 Open,34,Europe,Croatia,326268,2016
Nautitech,40 Open,38,Europe,Croatia,334363,2015
Nautitech,40,39,Europe,Croatia,354643,2016
Nautitech,46 Fly,45,Caribbean,British Virgin Islands,504787,2015
Nautitech,40 Open,37,Europe,France,463499,2016
Nautitech,40 Open,39,USA,Rhode Island,415170,2016
Nautitech,46 open,50,Caribbean,Guatemala,539349,2017
Nautitech,46 Open,42,Caribbean,Guatemala,569386,2017
Nautitech,46 Open,45,Caribbean,Guatemala,565129,2017
Nautitech,46 Open,44,Caribbean,Guatemala,552839,2016
Nautitech,46 Fly,45,Caribbean,British Virgin Islands,511379,2016
Nautitech,46 Fly,45,Europe,Greece,681026,2016
Nautitech,46 Fly,45,Europe,Greece,667875,2017
Nautitech,46 Open,46,Europe,Greece,576323,2016
Nautitech,46 Open,45,Europe,Greece,538163,2016
Nautitech,46 Open,45,Europe,Greece,577552,2016
Nautitech,46 Fly,49,Europe,Croatia,518747,2016
Nautitech,46 Fly,45,Europe,Croatia,523210,2016
Nautitech,40 Open,39,Caribbean,Martinique,428652,2018
Nautitech,40 Open,37,Caribbean,Martinique,451893,2017
Nautitech,40 Open,39,Europe,France,430533,2017
Nautitech,40 Open,41,Europe,Turkey,487720,2017
Nautitech,40 Open,39,Europe,France,414469,2018
Nautitech,40,41,Europe,France,408686,2017
Nautitech,46 Open,44,Europe,Croatia,781352,2017
Nautitech,46 Fly,45,Europe,Greece,705021,2018
Nautitech,46 Open,45,Europe,Spain,651392,2017
Nautitech,46 Open,42,Europe,France,541663,2018
Nautitech,46 Open,44,Europe,Greece,576065,2018
Nautitech,46 Fly,50,Europe,Greece,770516,2019
Nautitech,46 Fly,46,Europe,Greece,691223,2019
Nautitech,40,41,Europe,Croatia,189250,2004
Nautitech,40,41,Europe,Croatia,196839,2002
Nautitech,47,45,Caribbean,Dominican Republic,264504,2004
Nautitech,40,36,Europe,Greece,226872,2006
Nautitech,40,38,Europe,Greece,231969,2004
Nautitech,40,40,Europe,Italy,210838,2006
Nautitech,40,40,Europe,Greece,207326,2005
Nautitech,40,39,Europe,Greece,206441,2005
Nautitech,40,38,Europe,Greece,199572,2005
Nautitech,40,38,Europe,Greece,198405,2005
Nautitech,402,44,USA,Florida,210532,2007
Nautitech,47,46,Europe,Greece,526139,2006
Nautitech,47,45,Europe,Greece,493938,2006
Nautitech,47,48,Europe,Greece,397433,2006
Nautitech,40.2,39,Caribbean,Martinique,204404,2007
Nautitech,40,36,Europe,Croatia,192044,2007
Nautitech,44,42,Europe,Greece,293096,2008
Nautitech,47,47,Europe,Greece,351013,2008
Nautitech,47,48,Europe,Greece,333338,2007
Nautitech,47,47,Europe,Greece,347801,2008
Nautitech,40.2,40,Caribbean,Martinique,183231,2008
Nautitech,40.2,34,Caribbean,Martinique,193815,2008
Nautitech,47,49,Caribbean,Antigua and Barbuda,371578,2009
Nautitech,441,42,Caribbean,Martinique,362919,2009
Nautitech,441,47,Caribbean,Martinique,330573,2010
Nautitech,441,48,Caribbean,Martinique,303001,2008
Nautitech,441,41,Caribbean,Martinique,287556,2009
Nautitech,441,45,Caribbean,Martinique,262747,2009
Nautitech,441,41,Caribbean,Guadeloupe,267130,2009
Nautitech,442 Owners Version,47,Europe,Croatia,433059,2010
Nautitech,442 Owners Version,46,Europe,Croatia,422065,2010
Nautitech,441,41,Caribbean,Martinique,282228,2009
Nautitech,441,43,Caribbean,Guadeloupe,252522,2010
Nautitech,441,44,Caribbean,Guadeloupe,264952,2011
Nautitech,542,55,Caribbean,Saint-Martin,725893,2012
Nautitech,40 Open,40,Caribbean,Guadeloupe,297396,2014
Nautitech,40 Open,40,Europe,Greece,406204,2015
Nautitech,40 Open,39,Europe,France,406450,2015
Nautitech,40 Open,37,Europe,Spain,388856,2015
Nautitech,Open 40,39,Europe,Spain,398173,2015
Nautitech,40 Open,38,Europe,Spain,359262,2014
Nautitech,40 Open,40,Europe,France,363303,2014
Nautitech,40 Open,39,Europe,France,354896,2014
Nautitech,40 Open,37,Europe,Croatia,285502,2014
Nautitech,40 Open,38,Caribbean,British Virgin Islands,394862,2015
Nautitech,40 Open,41,Europe,Croatia,470378,2015
Nautitech,40 Open,37,Europe,Greece,376670,2016
Nautitech,40 Open,34,Europe,Croatia,326268,2016
Nautitech,40 Open,38,Europe,Croatia,334363,2015
Nautitech,40,39,Europe,Croatia,354643,2016
Nautitech,46 Fly,45,Caribbean,British Virgin Islands,504787,2015
Nautitech,40 Open,37,Europe,France,463499,2016
Nautitech,40 Open,39,USA,Rhode Island,415170,2016
Nautitech,46 open,50,Caribbean,Guatemala,539349,2017
Nautitech,46 Open,42,Caribbean,Guatemala,569386,2017
Nautitech,46 Open,45,Caribbean,Guatemala,565129,2017
Nautitech,46 Open,44,Caribbean,Guatemala,552839,2016
Nautitech,46 Fly,45,Caribbean,British Virgin Islands,511379,2016
Nautitech,46 Fly,45,Europe,Greece,681026,2016
Nautitech,46 Fly,45,Europe,Greece,667875,2017
Nautitech,46 Open,46,Europe,Greece,576323,2016
Nautitech,46 Open,45,Europe,Greece,538163,2016
Nautitech,46 Open,45,Europe,Greece,577552,2016
Nautitech,46 Fly,49,Europe,Croatia,518747,2016
Nautitech,46 Fly,45,Europe,Croatia,523210,2016
Nautitech,40 Open,39,Caribbean,Martinique,428652,2018
Nautitech,40 Open,37,Caribbean,Martinique,451893,2017
Nautitech,40 Open,39,Europe,France,430533,2017
Nautitech,40 Open,41,Europe,Turkey,487720,2017
Nautitech,40 Open,39,Europe,France,414469,2018
Nautitech,40,41,Europe,France,408686,2017
Nautitech,46 Open,44,Europe,Croatia,781352,2017
Nautitech,46 Fly,45,Europe,Greece,705021,2018
Nautitech,46 Open,45,Europe,Spain,651392,2017
Nautitech,46 Open,42,Europe,France,541663,2018
Nautitech,46 Open,44,Europe,Greece,576065,2018
Nautitech,46 Fly,50,Europe,Greece,770516,2019
Nautitech,46 Fly,46,Europe,Greece,691223,2019
